model_tag,subject,channel_config,classes,best_acc,aver_acc,duration
lowchannel_v1,1,c3c4,"1,2",0.625000,0.564667,0:03:19.447823
lowchannel_v1,3,c3c4,"1,2",0.875000,0.813722,0:03:52.444104
lowchannel_v1,5,c3c4,"1,2",0.569444,0.507222,0:03:09.420070
lowchannel_v1,8,c3c4,"1,2",0.680556,0.618444,0:03:47.057968
lowchannel_v1,9,c3c4,"1,2",0.833333,0.741583,0:04:11.960616
lowchannel_v1,1,c3czc4,"1,2,3,4",0.527778,0.447306,0:07:20.102988
lowchannel_v1,3,c3czc4,"1,2,3,4",0.506944,0.472875,0:07:53.702172
lowchannel_v1,5,c3czc4,"1,2,3,4",0.298611,0.260708,0:07:37.899166
lowchannel_v1,8,c3czc4,"1,2,3,4",0.427083,0.381292,0:07:51.366048
lowchannel_v1,9,c3czc4,"1,2,3,4",0.628472,0.571722,0:07:50.336947
lowchannel_v1,1,c3c4,"1,2,3,4",0.572917,0.510014,0:10:30.332622
lowchannel_v1,3,c3c4,"1,2,3,4",0.631944,0.586014,0:11:59.708222
lowchannel_v1,5,c3c4,"1,2,3,4",0.364583,0.317264,0:15:27.744457
lowchannel_v1,8,c3c4,"1,2,3,4",0.430556,0.366208,0:15:27.698371
lowchannel_v1,9,c3c4,"1,2,3,4",0.593750,0.542569,0:10:30.045370
